id,wave,mstat,pcnt,kcnt,finhelp,nonfinhelp,guide,caresupport,hhres,interact_f,majong_f,provhelp_f,sport_f,community_f,volunteer_f,sccare_f,course_f,stock_f,scinternet_f,fpamt,fcamt,foamt
10104101001,2011,married,1,1,2,2,2,NA,4,4,4,4,4,4,4,4,4,4,4,0,0,0
10104101002,2011,married,1,1,2,1,2,NA,4,4,4,4,4,4,4,4,4,4,4,0,0,0
10104102001,2011,married,0,1,2,2,2,NA,6,4,4,4,4,4,4,4,4,4,4,0,0,0
10104102002,2011,married,0,1,2,2,1,NA,6,4,4,4,4,4,4,4,4,4,4,0,0,0
10104103001,2011,married,0,1,2,2,2,NA,3,4,4,4,4,4,4,4,4,4,4,0,0,0
10104103002,2011,married,0,1,2,2,2,NA,3,4,4,4,4,4,4,4,4,4,4,0,0,0
10104104001,2011,married,0,1,2,2,2,NA,2,4,4,4,4,4,4,4,4,4,4,0,0,0
10104104002,2011,married,0,1,2,2,2,NA,2,4,4,4,4,4,4,4,4,4,4,0,0,0
10104105001,2011,married,0,1,2,2,2,NA,3,4,4,4,4,4,4,4,4,4,4,0,500,0
10104105002,2011,married,0,1,2,2,2,NA,3,4,4,4,4,4,4,4,4,4,4,0,500,0
10104106001,2011,married,0,1,2,NA,2,NA,5,4,4,4,4,4,4,4,4,4,4,0,2470,0
10104106002,2011,married,0,1,NA,NA,NA,NA,5,4,4,4,4,4,4,4,4,4,4,0,2470,0
10104107001,2011,married,0,1,2,2,2,NA,7,4,4,4,4,4,4,4,4,4,4,0,0,0
10104108001,2011,married,0,1,2,2,2,NA,5,4,4,4,4,4,4,4,4,4,4,0,0,0
10104108002,2011,married,0,1,2,2,2,NA,5,4,4,4,4,4,4,4,4,4,4,0,0,0
10104109001,2011,married,0,1,2,2,2,NA,5,4,4,4,4,4,4,4,4,4,4,0,0,0
10104109002,2011,married,0,1,2,2,2,NA,5,4,4,4,4,4,4,4,4,4,4,0,0,0
10104110001,2011,married,0,1,2,2,2,NA,6,4,4,4,4,4,4,4,4,4,4,0,0,0
10104110002,2011,married,0,1,2,2,1,NA,6,4,4,4,4,4,4,4,4,4,4,0,0,0
10104111001,2011,widowed,1,1,2,2,2,NA,5,4,4,4,4,4,4,4,4,4,4,0,0,0
10104112001,2011,married,1,1,2,2,1,NA,3,4,4,4,4,4,4,4,4,4,4,0,0,0
10104112002,2011,married,1,1,2,2,2,NA,3,4,4,4,4,4,4,4,4,4,4,0,0,0
10104113001,2011,married,1,1,2,2,2,NA,6,4,4,4,4,4,4,4,4,4,4,0,0,0
10104113002,2011,married,1,1,2,2,2,NA,6,4,4,4,4,4,4,4,4,4,4,0,0,0
10104114001,2011,married,0,1,2,1,2,NA,5,4,4,4,4,4,4,4,4,4,4,0,0,0
10104114002,2011,married,0,1,2,2,2,NA,5,4,4,4,4,4,4,4,4,4,4,0,0,0
10104115001,2011,married,0,1,2,2,2,NA,2,4,4,4,4,4,4,4,4,4,4,0,2000,0
10104115002,2011,married,0,1,2,2,2,NA,2,4,4,4,4,4,4,4,4,4,4,0,2000,0
10104116001,2011,married,0,1,2,2,2,NA,2,4,4,4,4,4,4,4,4,4,4,0,0,0
10104116002,2011,married,0,1,2,2,2,NA,2,4,4,4,4,4,4,4,4,4,4,0,0,0
10104117001,2011,married,0,1,2,2,2,NA,6,4,4,4,4,4,4,4,4,4,4,0,0,0
10104117002,2011,married,0,1,2,2,2,NA,6,4,4,4,4,4,4,4,4,4,4,0,0,0
10104118001,2011,married,1,1,2,1,2,NA,5,4,4,4,4,4,4,4,4,4,4,0,1800,0
10104118002,2011,married,1,1,2,1,1,NA,5,4,4,4,4,4,4,4,4,4,4,0,1800,0
10104119001,2011,married,0,1,2,1,1,NA,5,4,4,4,4,4,4,4,4,4,4,0,0,0
10104201001,2011,married,0,1,NA,NA,NA,NA,5,4,4,4,4,4,4,4,4,4,4,0,0,300
10104201002,2011,married,0,1,NA,NA,NA,NA,5,4,4,4,4,4,4,4,4,4,4,0,0,300
10104202001,2011,married,0,1,NA,NA,NA,NA,2,4,4,4,4,4,4,4,4,4,4,0,3000,0
10104202002,2011,married,0,1,NA,NA,NA,NA,2,4,4,4,4,4,4,4,4,4,4,0,3000,0
10104203001,2011,married,0,1,NA,NA,NA,NA,6,4,4,4,4,4,4,4,4,4,4,0,1200,0
10104203002,2011,married,0,1,2,2,2,NA,6,4,4,4,4,4,4,4,4,4,4,0,1200,0
10104204001,2011,widowed,0,1,2,2,2,NA,4,4,4,4,4,4,4,4,4,4,4,0,2200,100
10104205001,2011,married,0,1,2,2,2,NA,2,4,4,4,4,4,4,4,4,4,4,4800,0,0
10104205002,2011,married,0,1,2,2,2,NA,2,4,4,4,4,4,4,4,4,4,4,4800,0,0
10104206001,2011,married,0,1,2,2,2,NA,3,4,4,4,4,4,4,4,4,4,4,0,0,0
10104206002,2011,married,0,1,2,2,2,NA,3,4,4,4,4,4,4,4,4,4,4,0,0,0
10104207001,2011,married,0,1,2,2,2,NA,2,4,4,4,4,4,4,4,4,4,4,0,1201,0
10104207002,2011,married,0,1,2,2,2,NA,2,4,4,4,4,4,4,4,4,4,4,0,1201,0
10104208001,2011,separated,1,1,2,2,2,NA,1,4,4,4,4,4,4,4,4,4,4,0,900,0
10104209001,2011,widowed,0,1,2,2,2,NA,1,4,4,4,4,4,4,4,4,4,4,0,400,0
10104210001,2011,widowed,0,1,2,2,2,NA,1,4,4,4,4,4,4,4,4,4,4,0,0,0
10104211001,2011,married,0,1,NA,NA,NA,NA,2,4,4,4,4,4,4,4,4,4,4,0,6000,0
10104211002,2011,married,0,1,NA,NA,NA,NA,2,4,4,4,4,4,4,4,4,4,4,0,6000,0
10104212001,2011,widowed,1,1,2,2,2,NA,4,4,4,4,4,4,4,4,4,4,4,0,0,0
10104213001,2011,widowed,0,1,NA,NA,NA,NA,1,4,4,4,4,4,4,4,4,4,4,0,350,0
10104214001,2011,married,0,1,NA,NA,NA,NA,5,4,4,4,4,4,4,4,4,4,4,0,0,0
10104214002,2011,married,0,1,NA,NA,NA,NA,5,4,4,4,4,4,4,4,4,4,4,0,0,0
10104215001,2011,married,0,0,NA,NA,NA,NA,2,4,4,4,4,4,4,4,4,4,4,0,0,0
10104215002,2011,married,0,0,NA,NA,NA,NA,2,4,4,4,4,4,4,4,4,4,4,0,0,0
10104216001,2011,widowed,0,1,NA,NA,NA,NA,1,4,4,4,4,4,4,4,4,4,4,0,0,0
10104217001,2011,married,0,1,2,2,2,NA,3,4,4,4,4,4,4,4,4,4,4,0,200,0
10104217002,2011,married,0,1,2,2,2,NA,3,4,4,4,4,4,4,4,4,4,4,0,200,0
10104218001,2011,married,1,1,NA,NA,NA,NA,3,4,4,4,4,4,4,4,4,4,4,0,0,0
10104218002,2011,married,1,1,2,2,2,NA,3,4,4,4,4,4,4,4,4,4,4,0,0,0
10104219001,2011,separated,1,1,NA,NA,NA,NA,5,4,4,4,4,4,4,4,4,4,4,0,0,0
10104220001,2011,widowed,0,1,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,200,350,150
10104221001,2011,married,0,1,2,2,2,NA,2,4,4,4,4,4,4,4,4,4,4,0,400,0
10104221002,2011,married,0,1,1,2,2,NA,2,4,4,4,4,4,4,4,4,4,4,0,400,0
10104222001,2011,married,0,1,NA,NA,NA,NA,5,4,4,4,4,4,4,4,4,4,4,0,NA,0
10104222002,2011,married,0,1,NA,NA,NA,NA,5,4,4,4,4,4,4,4,4,4,4,0,NA,0
10104223001,2011,married,1,1,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,0,0,0
10104223002,2011,married,1,1,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,0,0,0
10104224001,2011,married,1,1,NA,NA,NA,NA,2,4,4,4,4,4,4,4,4,4,4,0,0,0
10104224002,2011,married,1,1,NA,NA,NA,NA,2,4,4,4,4,4,4,4,4,4,4,0,0,0
10104225001,2011,married,0,1,2,2,2,NA,3,4,4,4,4,4,4,4,4,4,4,0,0,0
10104226001,2011,married,0,1,2,2,1,NA,5,4,4,4,4,4,4,4,4,4,4,0,1300,0
10104226002,2011,married,0,1,2,1,1,NA,5,4,4,4,4,4,4,4,4,4,4,0,1300,0
10104227001,2011,widowed,0,1,2,2,2,NA,2,4,4,4,4,4,4,4,4,4,4,0,1162,0
10104228001,2011,married,0,1,NA,NA,NA,NA,5,4,4,4,4,4,4,4,4,4,4,0,0,200
10104228002,2011,married,0,1,2,2,2,NA,5,4,4,4,4,4,4,4,4,4,4,0,0,200
10104229001,2011,married,0,1,NA,NA,NA,NA,2,4,4,4,4,4,4,4,4,4,4,0,0,0
10104229002,2011,married,0,1,NA,NA,NA,NA,2,4,4,4,4,4,4,4,4,4,4,0,0,0
10104230001,2011,separated,1,1,NA,NA,NA,NA,2,4,4,4,4,4,4,4,4,4,4,0,0,0
10104231001,2011,separated,1,1,2,2,2,NA,1,4,4,4,4,4,4,4,4,4,4,0,0,0
10104232001,2011,widowed,0,0,NA,NA,NA,NA,1,4,4,4,4,4,4,4,4,4,4,0,2200,0
10104301001,2011,married,0,1,1,1,1,NA,6,4,4,4,4,4,4,4,4,4,4,0,0,0
10104301002,2011,married,0,1,2,2,2,NA,6,4,4,4,4,4,4,4,4,4,4,0,0,0
10104302001,2011,married,0,1,2,2,2,NA,3,4,4,4,4,4,4,4,4,4,4,0,0,0
10104302002,2011,married,0,1,NA,NA,NA,NA,3,4,4,4,4,4,4,4,4,4,4,0,0,0
10104303001,2011,married,0,1,2,1,2,NA,6,4,4,4,4,4,4,4,4,4,4,0,1400,0
10104303002,2011,married,0,1,2,2,2,NA,6,4,4,4,4,4,4,4,4,4,4,0,1400,0
10104304001,2011,widowed,0,1,2,2,2,NA,5,4,4,4,4,4,4,4,4,4,4,0,540,0
10104305001,2011,widowed,0,1,2,2,2,NA,4,4,4,4,4,4,4,4,4,4,4,0,100,0
10104306001,2011,married,1,1,2,2,2,NA,8,4,4,4,4,4,4,4,4,4,4,0,200,0
10104306002,2011,married,1,1,2,2,2,NA,8,4,4,4,4,4,4,4,4,4,4,0,200,0
10104307001,2011,married,0,1,2,1,2,NA,4,4,4,4,4,4,4,4,4,4,4,0,0,0
10104307002,2011,married,0,1,2,2,2,NA,4,4,4,4,4,4,4,4,4,4,4,0,0,0
10104308001,2011,widowed,1,1,2,2,1,NA,5,4,4,4,4,4,4,4,4,4,4,0,0,0
10104309001,2011,married,0,1,2,2,2,NA,4,4,4,4,4,4,4,4,4,4,4,0,0,0
10104309002,2011,married,0,1,2,2,2,NA,4,4,4,4,4,4,4,4,4,4,4,0,0,0
10104310001,2011,married,0,1,2,2,2,NA,9,4,4,4,4,4,4,4,4,4,4,0,100,800
10104310002,2011,married,0,1,NA,NA,NA,NA,9,4,4,4,4,4,4,4,4,4,4,0,100,800
10104311001,2011,married,0,1,2,2,2,NA,6,4,4,4,4,4,4,4,4,4,4,0,0,0
10104311002,2011,married,0,1,2,2,2,NA,6,4,4,4,4,4,4,4,4,4,4,0,0,0
10104312001,2011,married,0,1,2,2,2,NA,6,4,4,4,4,4,4,4,4,4,4,0,0,0
10104312002,2011,married,0,1,2,2,2,NA,6,4,4,4,4,4,4,4,4,4,4,0,0,0
10104313001,2011,married,0,1,NA,NA,NA,NA,2,4,4,4,4,4,4,4,4,4,4,0,0,0
