id,wave,mstat,pcnt,kcnt,finhelp,nonfinhelp,guide,caresupport,hhres,interact_f,majong_f,provhelp_f,sport_f,community_f,volunteer_f,sccare_f,course_f,stock_f,scinternet_f,fpamt,fcamt,foamt
10104101001,2015,married,1,1,2,2,2,1,7,4,4,4,4,4,4,4,4,4,4,0,1600,0
10104101002,2015,married,1,1,2,1,2,1,7,4,4,4,4,4,4,4,4,4,4,0,1600,0
10104102001,2015,married,0,1,2,2,2,1,4,4,4,4,4,4,4,4,4,4,4,0,4100,0
10104102002,2015,married,0,1,2,2,1,1,4,3,4,3,4,4,4,3,4,4,4,0,4100,0
10104103001,2015,married,0,1,2,2,2,2,4,3,3,4,4,4,4,4,4,4,4,0,9000,13000
10104103002,2015,married,0,1,2,2,2,1,4,4,4,4,4,4,4,4,4,4,4,0,9000,13000
10104104001,2015,married,0,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,0,0,NA
10104104002,2015,married,0,1,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,0,0,NA
10104105001,2015,married,0,1,2,2,2,2,4,3,4,4,4,4,4,4,4,4,4,0,4500,0
10104105002,2015,married,0,1,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,0,4500,0
10104106001,2015,widowed,0,1,2,NA,2,1,2,4,4,4,4,4,4,4,4,4,4,0,1500,0
10104107001,2015,married,0,1,2,2,2,1,3,4,4,4,4,4,4,4,4,4,4,0,2100,NA
10104107002,2015,married,0,1,2,2,1,1,3,4,4,4,4,4,4,4,4,4,4,0,2100,NA
10104108001,2015,married,0,1,2,2,2,1,3,4,4,4,4,4,4,4,4,4,4,0,3000,0
10104108002,2015,married,0,1,2,2,2,1,3,4,4,4,4,4,4,4,4,4,4,0,3000,0
10104109001,2015,married,0,1,2,2,2,1,2,1,4,4,4,4,4,4,4,4,4,0,900,0
10104109002,2015,married,0,1,2,2,2,1,2,4,4,2,4,4,4,4,4,4,4,0,900,0
10104110001,2015,married,0,1,2,2,2,1,3,4,4,4,4,4,4,4,4,4,4,0,1000,0
10104110002,2015,married,0,1,2,2,1,1,3,4,4,4,4,4,4,4,4,4,4,0,1000,0
10104111001,2015,widowed,1,1,2,2,2,2,4,3,4,4,4,4,4,4,4,4,4,0,160,100
10104112001,2015,married,0,1,2,2,1,1,3,4,4,4,4,4,4,4,4,4,4,0,1000,0
10104112002,2015,married,0,1,2,2,2,1,3,4,4,4,4,4,4,4,4,4,4,0,1000,0
10104113001,2015,married,1,1,2,2,2,1,7,4,4,4,4,4,4,4,4,4,4,0,300,300
10104113002,2015,married,1,1,2,2,2,1,7,4,4,4,4,4,4,4,4,4,4,0,300,300
10104114001,2015,married,0,1,2,1,2,2,3,4,4,4,4,4,4,4,4,4,4,0,1000,0
10104114002,2015,married,0,1,2,2,2,1,3,4,4,4,4,4,4,4,4,4,4,0,1000,0
10104115001,2015,married,0,0,2,2,2,1,2,3,4,4,4,4,4,4,4,4,4,0,100,3000
10104115002,2015,married,0,0,2,2,2,1,2,4,4,4,4,4,4,4,4,4,4,0,100,3000
10104116001,2015,married,0,1,2,2,2,1,2,4,4,3,4,4,4,2,4,4,4,0,4000,0
10104116002,2015,married,0,1,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,0,4000,0
10104117001,2015,married,0,1,2,2,2,1,6,4,4,4,4,4,4,4,4,4,4,0,1500,100
10104117002,2015,married,0,1,2,2,2,1,6,4,4,4,4,4,4,4,4,4,4,0,1500,100
10104118001,2015,married,0,1,2,1,2,1,7,3,4,4,4,4,4,4,4,4,4,0,900,0
10104118002,2015,married,0,1,2,1,1,2,7,3,4,4,4,4,4,4,4,4,4,0,900,0
10104119001,2015,married,0,1,2,1,1,1,3,4,4,4,4,4,4,4,4,4,4,0,2100,0
10104119002,2015,married,0,1,2,1,2,1,3,4,4,4,4,4,4,4,4,4,4,0,2100,0
10104120001,2015,married,0,1,2,2,2,1,5,4,4,3,4,4,4,4,4,4,4,700,5500,NA
10104120002,2015,married,0,1,2,2,1,NA,5,4,4,2,4,4,4,4,4,4,4,700,5500,NA
10104121001,2015,married,1,1,NA,2,2,1,6,4,4,4,4,4,4,4,4,4,4,0,0,10000
10104121002,2015,married,1,1,2,2,2,2,6,4,3,4,4,4,4,4,4,4,4,0,0,10000
10104122001,2015,married,0,1,2,2,2,1,4,4,4,4,4,4,4,4,4,4,4,0,1000,0
10104122002,2015,married,0,1,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,0,1000,0
10104123001,2015,widowed,0,1,2,1,2,2,2,4,4,4,4,4,4,4,4,4,4,0,500,0
10104124001,2015,married,1,1,2,2,1,1,6,4,4,4,4,4,4,4,4,4,4,0,1600,0
10104124002,2015,married,1,1,2,2,2,1,6,4,4,4,4,4,4,4,4,4,4,0,1600,0
10104125001,2015,married,0,1,1,2,2,1,3,4,4,4,4,4,4,4,4,4,4,0,1000,0
10104125002,2015,married,0,1,2,2,2,1,3,4,4,4,4,4,4,4,4,4,4,0,1000,0
10104127001,2015,married,NA,1,NA,NA,NA,1,3,4,4,4,4,4,4,4,4,4,4,0,1160,800
10104127002,2015,married,NA,1,2,2,2,1,3,3,4,4,4,4,4,4,4,4,4,0,1160,800
