"id","sc_marital","sc_household_size","sc_weekly_contact_parents","sc_weekly_contact_children","sc_perceived_support","sc_act_interact_friends","sc_act_mahjong","sc_act_help_others","sc_act_sport_club","sc_act_community_org","sc_act_volunteer","sc_act_care_sick","sc_act_education","sc_act_stock","sc_act_internet","Z_SC_Structural","Z_SC_Support","Z_SC_Strain","Z_SC_Engagement","Z_SC_Total"
324681324002,0,4,0,1,0,4,4,4,4,4,4,4,4,4,4,-0.108135557119554,-1.54161508074969,NA,0.26898862438446,-0.460254004494928
324681325001,0,9,0,1,1,1,2,3,4,4,4,4,4,4,4,-0.108135557119554,0.648632701796546,NA,-0.599959269588526,-0.0198207083038447
324681325002,0,9,0,1,1,1,4,3,1,4,4,4,4,4,4,-0.108135557119554,0.648632701796546,NA,-0.812963056523197,-0.0908219706154016
324681326001,2,5,0,1,1,4,4,4,4,4,4,4,4,4,4,-0.108135557119554,0.648632701796546,NA,0.26898862438446,0.269828589687151
324681327001,0,7,0,1,0,4,4,4,4,4,4,4,4,4,4,-0.108135557119554,-1.54161508074969,NA,0.26898862438446,-0.460254004494928
324681327002,0,7,0,1,1,4,4,4,4,4,4,4,4,4,4,-0.108135557119554,0.648632701796546,NA,0.26898862438446,0.269828589687151
324681328001,3,1,0,0,1,4,4,4,4,4,4,4,4,4,4,-1.70366154933702,0.648632701796546,NA,0.26898862438446,-0.262013407718672
324681329002,0,3,0,1,0,4,4,4,4,4,4,4,4,4,4,-0.108135557119554,-1.54161508074969,NA,0.26898862438446,-0.460254004494928
324681330001,0,5,1,1,1,1,4,3,1,4,4,4,4,4,4,1.05556115331844,0.648632701796546,NA,-0.812963056523197,0.297076932863928
324681330002,0,5,1,1,1,3,4,2,2,2,2,4,4,4,3,1.05556115331844,0.648632701796546,NA,-3.52208667313913,-0.605964272674715
325306101001,0,5,0,1,1,2,3,4,4,4,4,4,4,4,4,-0.108135557119554,0.648632701796546,NA,-0.09776188072881,0.147578421316061
325306101002,0,5,0,1,1,1,4,4,4,4,4,4,4,4,4,-0.108135557119554,0.648632701796546,NA,-0.0553522454719137,0.161714966401693
325306102001,0,3,0,1,1,1,4,4,4,4,4,4,4,4,4,-0.108135557119554,0.648632701796546,NA,-0.0553522454719137,0.161714966401693
325306102002,0,3,0,1,0,1,4,4,4,4,4,4,4,4,4,-0.108135557119554,-1.54161508074969,NA,-0.0553522454719137,-0.568367627780386
325306103001,2,4,0,NA,1,4,1,4,4,4,4,4,4,4,4,-0.56851186513345,0.648632701796546,NA,-0.182581151242602,-0.0341534381931686
325306104001,2,3,0,1,0,4,2,4,4,4,4,4,4,4,4,-0.108135557119554,-1.54161508074969,NA,-0.0320578927002482,-0.560602843523164
325306105002,2,3,0,1,1,1,4,4,4,4,4,4,4,4,4,-0.108135557119554,0.648632701796546,NA,-0.0553522454719137,0.161714966401693
325306106001,0,5,0,1,1,1,4,4,4,4,4,4,4,4,4,-0.108135557119554,0.648632701796546,NA,-0.0553522454719137,0.161714966401693
325306106002,0,5,0,1,1,2,4,4,4,4,4,4,4,4,4,-0.108135557119554,0.648632701796546,NA,0.0527613778135442,0.197752840830179
325306107001,0,5,0,0,0,1,4,4,4,4,4,4,4,4,4,-1.70366154933702,-1.54161508074969,NA,-0.0553522454719137,-1.10020962518621
325306107002,0,5,0,0,0,4,4,4,4,4,4,4,4,4,4,-1.70366154933702,-1.54161508074969,NA,0.26898862438446,-0.992096001900751
325306108001,0,6,0,1,1,4,4,4,4,4,4,4,4,4,4,-0.108135557119554,0.648632701796546,NA,0.26898862438446,0.269828589687151
325306108002,0,6,0,1,1,4,4,3,4,4,4,4,4,4,4,-0.108135557119554,0.648632701796546,NA,0.0254281173525558,0.188641754009849
325306109001,0,3,1,1,1,4,4,4,4,4,4,4,4,4,4,1.05556115331844,0.648632701796546,NA,0.26898862438446,0.65772749316648
325306109002,0,3,1,1,1,4,4,4,4,4,4,4,4,4,4,1.05556115331844,0.648632701796546,NA,0.26898862438446,0.65772749316648
325306110001,0,4,1,1,1,1,4,4,4,4,4,4,4,4,4,1.05556115331844,0.648632701796546,NA,-0.0553522454719137,0.549613869881023
325306110002,0,4,1,1,1,2,4,4,4,4,4,4,4,4,4,1.05556115331844,0.648632701796546,NA,0.0527613778135442,0.585651744309509
325306111001,0,6,1,1,0,4,4,4,4,4,4,4,4,4,4,1.05556115331844,-1.54161508074969,NA,0.26898862438446,-0.0723551010155981
325306111002,0,6,1,1,1,3,3,4,4,4,4,4,4,4,4,1.05556115331844,0.648632701796546,NA,0.010351742556648,0.571515199223876
325306112001,0,3,0,1,1,3,4,4,4,4,4,4,4,4,4,-0.108135557119554,0.648632701796546,NA,0.160875001099002,0.233790715258665
325306112002,0,3,0,1,1,4,4,4,4,4,4,4,4,4,4,-0.108135557119554,0.648632701796546,NA,0.26898862438446,0.269828589687151
325306113001,0,5,1,1,1,4,4,4,4,4,4,4,4,4,4,1.05556115331844,0.648632701796546,NA,0.26898862438446,0.65772749316648
325306113002,0,5,1,1,1,4,4,2,4,4,4,3,4,4,4,1.05556115331844,0.648632701796546,NA,-0.783776962509245,0.306805630868579
325306114001,0,10,0,1,1,3,3,4,4,4,4,4,4,4,4,-0.108135557119554,0.648632701796546,NA,0.010351742556648,0.183616295744547
325306114002,0,10,0,1,1,4,3,4,4,4,4,4,4,4,4,-0.108135557119554,0.648632701796546,NA,0.118465365842106,0.219654170173033
325306115001,2,4,0,1,1,4,4,4,4,4,4,4,4,4,4,-0.108135557119554,0.648632701796546,NA,0.26898862438446,0.269828589687151
325306116001,0,2,0,1,1,1,4,4,1,4,4,4,4,4,4,-0.108135557119554,0.648632701796546,NA,-0.569402549491293,-0.0096351349381002
325306116002,0,2,0,1,1,4,4,4,4,4,4,4,4,4,4,-0.108135557119554,0.648632701796546,NA,0.26898862438446,0.269828589687151
325306117001,2,4,0,1,0,4,4,3,4,4,4,4,4,4,4,-0.108135557119554,-1.54161508074969,NA,0.0254281173525558,-0.541440840172229
325306118001,2,5,0,1,0,3,4,4,4,4,4,4,4,4,4,-0.108135557119554,-1.54161508074969,NA,0.160875001099002,-0.496291878923414
325306119001,0,4,1,NA,1,4,2,4,4,4,4,4,4,4,4,1.75888155574253,0.648632701796546,NA,-0.0320578927002482,0.791818788279609
325306119002,0,4,1,NA,1,4,4,4,4,4,4,4,4,4,4,1.75888155574253,0.648632701796546,NA,0.26898862438446,0.892167627307845
325306120001,0,4,0,1,1,3,4,4,4,4,4,4,4,4,4,-0.108135557119554,0.648632701796546,NA,0.160875001099002,0.233790715258665
325306120002,0,4,0,1,1,4,4,4,4,4,4,4,4,4,4,-0.108135557119554,0.648632701796546,NA,0.26898862438446,0.269828589687151
325306121001,0,2,0,1,0,4,4,4,4,4,4,4,4,4,4,-0.108135557119554,-1.54161508074969,NA,0.26898862438446,-0.460254004494928
325306121002,0,2,0,1,0,4,4,4,4,4,4,4,4,4,4,-0.108135557119554,-1.54161508074969,NA,0.26898862438446,-0.460254004494928
325306122001,0,4,1,1,1,4,3,3,4,4,4,4,4,4,4,1.05556115331844,0.648632701796546,NA,-0.125095141189798,0.526366237975061
325306122002,0,4,1,1,1,2,2,4,4,4,4,4,4,4,4,1.05556115331844,0.648632701796546,NA,-0.248285139271164,0.485302905281272
325306123001,0,3,0,NA,1,4,4,4,4,4,4,4,4,4,4,-0.56851186513345,0.648632701796546,NA,0.26898862438446,0.116369820349186
325306123002,0,3,0,NA,1,1,4,4,4,4,4,4,4,4,4,-0.56851186513345,0.648632701796546,NA,-0.0553522454719137,0.00825619706372762
325306124001,0,2,1,1,1,2,4,3,4,4,3,4,4,4,4,1.05556115331844,0.648632701796546,NA,-1.06958166795256,0.211537395720806
325306124002,0,2,1,1,0,4,4,4,4,4,4,4,4,4,4,1.05556115331844,-1.54161508074969,NA,0.26898862438446,-0.0723551010155981
325306125001,0,5,0,1,1,3,4,4,4,4,4,4,4,4,4,-0.108135557119554,0.648632701796546,NA,0.160875001099002,0.233790715258665
325306125002,0,5,0,1,1,4,4,2,4,4,4,4,4,4,4,-0.108135557119554,0.648632701796546,NA,-0.218132389679349,0.107454918332548
325306126001,0,4,0,1,1,1,1,4,1,4,4,4,4,4,4,-0.108135557119554,0.648632701796546,NA,-1.02097232511836,-0.160158393480454
325306126002,0,4,0,1,1,1,4,4,4,4,4,4,4,4,4,-0.108135557119554,0.648632701796546,NA,-0.0553522454719137,0.161714966401693
325306127001,0,5,1,1,1,4,4,4,4,4,4,4,4,4,4,1.05556115331844,0.648632701796546,NA,0.26898862438446,0.65772749316648
325306127002,0,5,1,1,1,1,4,4,4,4,4,4,4,4,4,1.05556115331844,0.648632701796546,NA,-0.0553522454719137,0.549613869881023
325306128001,3,1,0,0,NA,4,4,4,4,4,4,4,4,4,4,-1.70366154933702,NA,NA,0.26898862438446,NA
325306201001,0,3,0,1,0,4,4,4,4,4,4,4,4,4,4,-0.108135557119554,-1.54161508074969,NA,0.26898862438446,-0.460254004494928
325306201002,0,3,0,1,0,3,4,4,4,4,4,4,4,4,4,-0.108135557119554,-1.54161508074969,NA,0.160875001099002,-0.496291878923414
325306202001,0,4,1,NA,0,3,4,4,4,4,4,4,4,4,4,1.75888155574253,-1.54161508074969,NA,0.160875001099002,0.12604715869728
325306202002,0,4,1,NA,1,4,3,4,4,4,4,4,4,4,4,1.75888155574253,0.648632701796546,NA,0.118465365842106,0.841993207793727
325306203001,0,6,0,1,1,1,1,4,4,4,4,4,4,4,4,-0.108135557119554,0.648632701796546,NA,-0.506922021098976,0.0111917078593387
325306203002,0,6,0,1,1,1,4,4,4,4,4,4,4,4,4,-0.108135557119554,0.648632701796546,NA,-0.0553522454719137,0.161714966401693
325306204001,0,5,1,1,1,3,4,4,1,4,4,4,4,4,4,1.05556115331844,0.648632701796546,NA,-0.353175302920377,0.450339517398201
325306204002,0,5,1,1,1,2,4,3,4,4,4,4,4,4,4,1.05556115331844,0.648632701796546,NA,-0.19079912921836,0.504464908632207
325306205001,0,2,0,1,1,2,2,3,4,4,4,4,4,4,4,-0.108135557119554,0.648632701796546,NA,-0.491845646303068,0.0162171661246413
325306205002,0,2,0,1,1,1,4,4,2,4,4,4,4,4,4,-0.108135557119554,0.648632701796546,NA,-0.3980524481515,0.0474815655084975
325306206001,0,2,0,1,0,4,4,4,4,4,4,4,4,4,4,-0.108135557119554,-1.54161508074969,NA,0.26898862438446,-0.460254004494928
